text,category,risk_level
मलाई हल्का पेट दुखाइ छ,maternal_postnatal,low
बच्चा लगातार रोइरहनु भयो भने ठीक छ?,newborn,high
कब्जियत भयो भने के गर्ने?,maternal_postnatal,low
म शरीर काँप्नु भएको महसुस गर्छु,maternal_postnatal,high
दूध चुहिनु भयो भने के गर्ने?,maternal_postnatal,low
बच्चालाई झट्का जस्तो हुनु भयो भने के गर्ने?,newborn,high
के धेरै रगत बग्नु सामान्य हो?,maternal_postnatal,high
बच्चाको धेरै सुत्नु भए के गर्ने?,newborn,normal
मलाई सधैं रोइरहनु छ,maternal_postnatal,high
बच्चाको सास छिटो चल्नु भए के गर्ने?,newborn,high
सास फेर्न गाह्रो हुनु सामान्य हो?,maternal_postnatal,high
बच्चाले दिसा हरियो हुनु गरेको छ,newborn,medium
धेरै पसिना आउनु भइरहेको छ,maternal_postnatal,medium
यदि खुट्टा दुख्नु भयो भने के गर्ने?,maternal_postnatal,low
कमजोरी सामान्य हो?,maternal_postnatal,low
घाउबाट दुर्गन्ध आउनु सामान्य हो?,maternal_postnatal,medium
बच्चालाई धेरै चिसो हुनु भयो भने के गर्ने?,newborn,high
बच्चाको दूध कम खानु देखियो,newborn,medium
मलाई दूध कम आउनु छ,maternal_postnatal,medium
बच्चालाई पेट भरिएको देखिनु भयो भने के गर्ने?,newborn,normal
बच्चा हल्का रुनु भयो भने ठीक छ?,newborn,normal
कसरी भोक नलाग्नु कम गर्ने?,maternal_postnatal,low
मलाई मुटु छिटो धड्किनु छ,maternal_postnatal,medium
पसिना आउनु भयो भने के गर्ने?,maternal_postnatal,low
मलाई टाँका दुख्नु छ,maternal_postnatal,medium
बच्चाको दूध नै नखानु भए के गर्ने?,newborn,high
यदि मुटु छिटो धड्किनु भयो भने के गर्ने?,maternal_postnatal,medium
बच्चाले दिसा पहेंलो हुनु गरेको छ,newborn,normal
बच्चा आँखा पाक्नु भएपछि के गर्नु पर्छ?,newborn,medium
बच्चाले शरीर निलो देखिनु गरेको छ,newborn,high
